cohort_month,month_number,active_customers,cohort_customers,orders,cohort_gmv,cumulative_gmv,cumulative_gmv_per_cohort_customer
2017-08-01,4,14,4057,14,1755.13,645622.1099999999,159.13781365541038
2017-08-01,5,21,4057,23,2883.84,648505.9499999998,159.84864431846188
2017-08-01,6,12,4057,12,1864.71,650370.6599999998,160.3082721222578
2017-08-01,7,11,4057,11,1949.83,652320.4899999998,160.78888094651214
2017-08-01,8,6,4057,6,1800.03,654120.5199999998,161.2325659354202
2017-08-01,9,6,4057,6,1204.91,655325.4299999998,161.52956125215673
2017-08-01,10,10,4057,10,1460.16,656785.5899999999,161.88947251663788
2017-08-01,11,8,4057,8,1825.6,658611.1899999998,162.33946019226025
2017-08-01,12,5,4057,5,595.78,659206.9699999999,162.48631254621637
2017-09-01,0,4004,4004,4070,689826.0700000001,689826.0700000001,172.28423326673328
2017-09-01,1,28,4004,28,3659.34,693485.41,173.19815434565436
2017-09-01,2,22,4004,22,3182.5699999999997,696667.98,173.993001998002
2017-09-01,3,11,4004,15,1661.37,698329.35,174.40792957042956
2017-09-01,4,18,4004,18,3226.1899999999996,701555.5399999999,175.2136713286713
2017-09-01,5,9,4004,13,2055.95,703611.4899999999,175.72714535464533
2017-09-01,6,9,4004,9,1067.34,704678.8299999998,175.99371378621376
2017-09-01,7,10,4004,10,965.33,705644.1599999998,176.23480519480515
2017-09-01,8,11,4004,11,1168.15,706812.3099999998,176.52655094905091
2017-09-01,9,7,4004,7,695.8,707508.1099999999,176.70032717282714
2017-09-01,10,10,4004,10,1195.16,708703.2699999999,176.99881868131865
2017-09-01,11,3,4004,3,326.29999999999995,709029.57,177.08031218781218
2017-10-01,0,4328,4328,4384,737586.8199999998,737586.8199999998,170.42209334565615
2017-10-01,1,31,4328,33,4443.59,742030.4099999998,171.44880083179294
2017-10-01,2,11,4328,11,1643.41,743673.8199999998,171.82851663585947
2017-10-01,3,4,4328,4,578.4200000000001,744252.2399999999,171.9621626617375
2017-10-01,4,10,4328,11,1486.94,745739.1799999998,172.3057255083179
2017-10-01,5,9,4328,9,1408.03,747147.2099999998,172.63105591497225
2017-10-01,6,9,4328,9,1102.84,748250.0499999998,172.8858710720887
2017-10-01,7,16,4328,17,2448.18,750698.2299999999,173.45153188539737
2017-10-01,8,12,4328,13,2349.37,753047.5999999999,173.99436229205173
2017-10-01,9,8,4328,8,1977.36,755024.9599999998,174.45123844731975
2017-10-01,10,9,4328,9,960.39,755985.3499999999,174.67314001848425
2017-11-01,0,7060,7060,7160,1135550.0199999998,1135550.0199999998,160.84277903682715
2017-11-01,1,40,7060,42,8078.27,1143628.2899999998,161.98700991501414
2017-11-01,2,26,7060,27,3969.24,1147597.5299999998,162.54922521246456
2017-11-01,3,12,7060,12,1588.9400000000005,1149186.4699999995,162.77428753541074
2017-11-01,4,12,7060,12,2124.0699999999997,1151310.5399999998,163.07514730878185
2017-11-01,5,13,7060,14,1895.0499999999995,1153205.59,163.34356798866853
2017-11-01,6,8,7060,9,1133.36,1154338.95,163.50410056657222
2017-11-01,7,13,7060,13,1811.91,1156150.86,163.76074504249289
2017-11-01,8,9,7060,9,1323.64,1157474.4999999998,163.94822946175634
2017-11-01,9,4,7060,4,678.31,1158152.8099999998,164.04430736543907
2017-12-01,0,5338,5338,5395,824374.1399999998,824374.1399999998,154.43502060696886
2017-12-01,1,11,5338,11,2369.92,826744.0599999998,154.87899213188456
2017-12-01,2,15,5338,16,1922.78,828666.8399999999,155.2391982015736
2017-12-01,3,18,5338,20,2168.6200000000003,830835.4599999998,155.64545897339823
2017-12-01,4,14,5338,14,1959.48,832794.9399999998,156.01254027725736
2017-12-01,5,11,5338,11,2055.2000000000003,834850.1399999998,156.39755339078303
2017-12-01,6,9,5338,9,1258.6999999999998,836108.8399999997,156.63335331584858
2017-12-01,7,1,5338,1,284.96,836393.7999999997,156.68673660547014
2017-12-01,8,10,5338,10,1543.8200000000002,837937.6199999996,156.97594979393023
2018-01-01,0,6842,6842,6934,1057966.0899999992,1057966.0899999992,154.62819204910832
2018-01-01,1,23,6842,23,3650.85,1061616.9399999992,155.16178602747723
2018-01-01,2,25,6842,25,3685.98,1065302.9199999992,155.70051446945325
2018-01-01,3,20,6842,20,3418.21,1068721.1299999992,156.200106693949
2018-01-01,4,20,6842,20,2663.1399999999994,1071384.269999999,156.58934083601272
2018-01-01,5,11,6842,12,1586.64,1072970.909999999,156.82123794212202
2018-01-01,6,12,6842,12,1393.54,1074364.449999999,157.02491230634303
2018-01-01,7,16,6842,16,1643.58,1076008.029999999,157.2651315404851
2018-02-01,0,6288,6288,6435,950284.279999999,950284.279999999,151.12663486005073
2018-02-01,1,22,6288,22,3024.45,953308.7299999988,151.60762245547056
2018-02-01,2,25,6288,26,4230.1,957538.8299999988,152.2803482824426
2018-02-01,3,19,6288,19,3518.6,961057.4299999988,152.83992207379117
2018-02-01,4,16,6288,16,2168.3799999999997,963225.8099999988,153.18476622137388
2018-02-01,5,14,6288,14,3050.5599999999995,966276.369999999,153.6699061704833
2018-02-01,6,13,6288,13,1730.85,968007.2199999988,153.94516857506343
2018-03-01,0,6774,6774,6860,1101021.5200000005,1101021.5200000005,162.53639208739304
2018-03-01,1,27,6774,27,3058.0800000000004,1104079.6000000006,162.98783584292892
2018-03-01,2,20,6774,23,3526.76,1107606.3600000006,163.50846767050496
2018-03-01,3,20,6774,21,3264.78,1110871.1400000006,163.99042515500452
2018-03-01,4,8,6774,8,1360.77,1112231.9100000006,164.19130646589912
2018-03-01,5,8,6774,8,519.7,1112751.6100000006,164.26802627694133
2018-04-01,0,6582,6582,6633,1108063.300000001,1108063.300000001,168.34750835612292
2018-04-01,1,39,6582,39,5090.030000000001,1113153.330000001,169.120834092981
2018-04-01,2,20,6582,20,3581.14,1116734.470000001,169.6649149194775
2018-04-01,3,16,6582,16,1886.83,1118621.300000001,169.95158006684912
2018-04-01,4,9,6582,10,849.0,1119470.300000001,170.08056821634776
2018-05-01,0,6506,6506,6556,1100046.3300000008,1100046.3300000008,169.0818213956349
2018-05-01,1,34,6506,35,8277.65,1108323.980000001,170.3541315708578
2018-05-01,2,17,6506,17,2623.3599999999997,1110947.3400000008,170.75735321241942
2018-05-01,3,12,6506,12,1699.22,1112646.5600000008,171.01853058715045
2018-06-01,0,5878,5878,5911,981948.6700000002,981948.6700000002,167.05489452194627
2018-06-01,1,25,5878,25,3123.9700000000003,985072.64,167.58636270840424
2018-06-01,2,16,5878,16,1993.21,987065.85,167.92545933991155
2018-07-01,0,5949,5949,6007,1003889.5800000004,1003889.5800000004,168.74929904185583
2018-07-01,1,31,5949,31,4521.749999999999,1008411.3300000004,169.50938477054973
2018-08-01,0,6144,6144,6180,962952.9700000004,962952.9700000004,156.7306266276042
